"year","concept","source_var","source_label","resolved_by","required"
1990,"state","_STATE","STATE FIPS CODE","name",TRUE
1990,"psu","_PSU","PRIMARY SAMPLING UNIT","name",TRUE
1990,"strata","_STSTR","_STATE AND _STRATA COMBINED","name",TRUE
1990,"finalwt","_FINALWT","PRODUCT OF _POSTSTR AND _WT1","name",TRUE
1990,"bmi","_BMI","BODY MASS INDEX","name",TRUE
1990,"height_in",NA,NA,NA,FALSE
1990,"weight_kg",NA,NA,NA,FALSE
1990,"height_raw","HEIGHT","REPORTED HEIGHT IN FEET AND INCHES","name",FALSE
1990,"weight_raw","WEIGHT","REPORTED WEIGHT IN POUNDS","name",FALSE
1990,"sex","SEX","SEX","name",FALSE
1990,"age","AGE","REPORTED AGE IN YEARS","name",FALSE
1990,"pregnant","PREGNANT","PREGNANCY STATUS","name",FALSE
1991,"state","_STATE","STATE FIPS CODE","name",TRUE
1991,"psu","_PSU","PRIMARY SAMPLING UNIT","name",TRUE
1991,"strata","_STSTR","_STATE AND _STRATA COMBINED","name",TRUE
1991,"finalwt","_FINALWT","PRODUCT OF _POSTSTR AND _WT1","name",TRUE
1991,"bmi","_BMI","BODY MASS INDEX","name",TRUE
1991,"height_in",NA,NA,NA,FALSE
1991,"weight_kg",NA,NA,NA,FALSE
1991,"height_raw","HEIGHT","REPORTED HEIGHT IN FEET AND INCHES","name",FALSE
1991,"weight_raw","WEIGHT","REPORTED WEIGHT IN POUNDS","name",FALSE
1991,"sex","SEX","SEX","name",FALSE
1991,"age","AGE","REPORTED AGE IN YEARS","name",FALSE
1991,"pregnant","PREGNANT","PREGNANCY STATUS","name",FALSE
1992,"state","_STATE","STATE FIPS CODE","name",TRUE
1992,"psu","_PSU","PRIMARY SAMPLING UNIT","name",TRUE
1992,"strata","_STSTR","_STATE AND _STRATA COMBINED","name",TRUE
1992,"finalwt","_FINALWT","PRODUCT OF _POSTSTR AND _WT1","name",TRUE
1992,"bmi","_BMI","BODY MASS INDEX","name",TRUE
1992,"height_in",NA,NA,NA,FALSE
1992,"weight_kg",NA,NA,NA,FALSE
1992,"height_raw","HEIGHT","REPORTED HEIGHT IN FEET AND INCHES","name",FALSE
1992,"weight_raw","WEIGHT","REPORTED WEIGHT IN POUNDS","name",FALSE
1992,"sex","SEX","SEX","name",FALSE
1992,"age","AGE","REPORTED AGE IN YEARS","name",FALSE
1992,"pregnant","PREGNANT","PREGNANCY STATUS","name",FALSE
1993,"state","_STATE","STATE FIPS CODE","name",TRUE
1993,"psu","_PSU","PRIMARY SAMPLING UNIT","name",TRUE
1993,"strata","_STSTR","_STATE AND _STRATA COMBINED","name",TRUE
1993,"finalwt","_FINALWT","PRODUCT OF _POSTSTR AND _WT1","name",TRUE
1993,"bmi","_BMI","BODY MASS INDEX","name",TRUE
1993,"height_in",NA,NA,NA,FALSE
1993,"weight_kg",NA,NA,NA,FALSE
1993,"height_raw","HEIGHT","REPORTED HEIGHT IN FEET AND INCHES","name",FALSE
1993,"weight_raw","WEIGHT","REPORTED WEIGHT IN POUNDS","name",FALSE
1993,"sex","SEX","SEX","name",FALSE
1993,"age","AGE","REPORTED AGE IN YEARS","name",FALSE
1993,"pregnant","PREGNANT","ARE YOU NOW PREGNANT","name",FALSE
1994,"state","_STATE","STATE FIPS CODE","name",TRUE
1994,"psu","_PSU","PRIMARY SAMPLING UNIT","name",TRUE
1994,"strata","_STSTR","_STATE AND _STRATA COMBINED","name",TRUE
1994,"finalwt","_FINALWT","PRODUCT OF _POSTSTR AND _WT1","name",TRUE
1994,"bmi","_BMI","BODY MASS INDEX","name",TRUE
1994,"height_in",NA,NA,NA,FALSE
1994,"weight_kg",NA,NA,NA,FALSE
1994,"height_raw","HEIGHT","REPORTED HEIGHT IN FEET AND INCHES","name",FALSE
1994,"weight_raw","WEIGHT","REPORTED WEIGHT IN POUNDS","name",FALSE
1994,"sex","SEX","SEX","name",FALSE
1994,"age","AGE","REPORTED AGE IN YEARS","name",FALSE
1994,"pregnant","PREGNANT","ARE YOU NOW PREGNANT","name",FALSE
1995,"state","_STATE","STATE FIPS CODE","name",TRUE
1995,"psu","_PSU","PRIMARY SAMPLING UNIT","name",TRUE
1995,"strata","_STSTR","_STATE AND _STRATA COMBINED","name",TRUE
1995,"finalwt","_FINALWT","PRODUCT OF _POSTSTR & _WT1(2 EXPLCT DEC)","name",TRUE
1995,"bmi","_BMI","BODY MASS INDEX","name",TRUE
1995,"height_in",NA,NA,NA,FALSE
1995,"weight_kg",NA,NA,NA,FALSE
