state,prev_2022,rank_2022,prev_2000,rank_2000
Colorado,25,50,13.8,51
Hawaii,25.9,49,15.1,50
Montana,30.5,42,15.2,49
Delaware,37.9,8,16.2,48
Massachusetts,27.2,47,16.4,47
Rhode Island,30.8,40,16.8,46
Minnesota,33.6,26,16.8,45
Connecticut,30.6,41,16.9,44
New Hampshire,30.2,43,17.1,43
New York,30.1,44,17.2,42
Nevada,33.5,27,17.2,41
Virginia,35.2,21,17.5,40
New Jersey,29.1,45,17.6,39
Wyoming,34.3,24,17.6,38
Vermont,26.8,48,17.7,37
Florida,31.6,37,18.1,36
Idaho,33.2,31,18.4,35
Utah,31.1,38,18.5,34
Washington,31.7,36,18.5,33
New Mexico,32.4,34,18.8,32
Arizona,33.2,30,18.8,31
Oklahoma,40,3,19,30
California,28.1,46,19.2,29
South Dakota,36.8,15,19.2,28
Wisconsin,37.7,11,19.4,27
Maryland,33.2,32,19.5,26
Maine,33.1,33,19.7,25
North Dakota,35.4,19,19.8,24
Kansas,35.7,17,20.1,23
Alaska,32.1,35,20.5,22
Nebraska,35.3,20,20.6,21
Pennsylvania,33.4,29,20.7,20
Iowa,37.4,13,20.8,19
Illinois,33.4,28,20.9,18
Georgia,37,14,20.9,17
Oregon,30.9,39,21,16
Ohio,38.1,7,21,15
District of Columbia,24.3,51,21.2,14
North Carolina,34.1,25,21.3,13
Indiana,37.7,9,21.3,12
South Carolina,35,22,21.5,11
Missouri,36.4,16,21.6,10
Michigan,34.5,23,21.8,9
Kentucky,37.7,10,22.3,8
Arkansas,37.4,12,22.6,7
Texas,35.5,18,22.7,6
Tennessee,38.9,5,22.7,5
Louisiana,40.1,2,22.8,4
West Virginia,41,1,22.8,3
Alabama,38.3,6,23.5,2
Mississippi,39.5,4,24.3,1
